w,threshold,groupkey
5.5,35.29545810854769,project
1.0,11.514184566597201,project
1.5,14.156548293480588,project
2.0,16.79891202036398,project
2.5,19.441275747247367,project
3.0,22.083639474130752,project
3.5,24.72600320101414,project
4.0,27.36836692789753,project
4.5,30.010730654780918,project
5.0,32.6530943816643,project
6.0,37.93782183543108,project
6.5,40.58018556231447,project
7.0,43.22254928919786,project
7.5,45.864913016081246,project
8.0,48.507276742964635,project
8.5,51.14964046984802,project
9.0,53.79200419673141,project
9.5,56.4343679236148,project
